bill_id,state,bill_number,year,session_title,status_desc,status_date,last_action_date,last_action,committee,direction_heuristic,title,description,url
230160,AK,HB77,2011,2011-2012 Regular Session,Introduced,2011-01-18,2012-01-23,COSPONSOR(S): PETERSEN,State Affairs,opens,Nonpartisan Blanket Primary Election,An Act establishing a top two nonpartisan blanket primary election system for elective state executive and state and national legislative offices; changing appointment procedures relating to precinct ,https://legiscan.com/AK/bill/HB77/2011
312700,AK,HB225,2011,2011-2012 Regular Session,In Senate Committee,2011-04-04,2011-04-04,REFERRED TO STATE AFFAIRS,State Affairs,opens,Nonpartisan Blanket Primary Election,An Act establishing a top two nonpartisan blanket primary election system for elective state executive and state and national legislative offices; changing appointment procedures relating to precinct ,https://legiscan.com/AK/bill/HB225/2011
445263,AK,HB13,2013,2013-2014 Regular Session,Introduced,2013-01-16,2014-03-10,COSPONSOR(S): KITO III,State Affairs,opens,Nonpartisan Blanket Primary Election,An Act establishing a top two nonpartisan blanket primary election system for elective state executive and state and national legislative offices; changing appointment procedures relating to precinct ,https://legiscan.com/AK/bill/HB13/2013
672685,AK,HB17,2015,2015-2016 Regular Session,In House Committee,2015-01-21,2015-01-21,REFERRED TO STATE AFFAIRS,State Affairs,closes,Nonpartisan Primary Elections,An Act establishing a top two nonpartisan primary election system for elective state executive and state and national legislative offices; repealing the special runoff election for the office of Unite,https://legiscan.com/AK/bill/HB17/2015
1000876,AK,HB200,2017,2017-2018 Regular Session,Introduced,2017-03-29,2017-05-12,COSPONSOR(S): STUTES,State Affairs,closes,Nonpartisan Open Primary Elections,An Act establishing a top two nonpartisan open primary election system for elective state executive and state and national legislative offices; repealing the special runoff election for the office of ,https://legiscan.com/AK/bill/HB200/2017
1646807,AK,HB4,2023,2023-2024 Regular Session,Introduced,2023-01-19,2024-02-05,COSPONSOR(S): CARPENTER,Finance,closes,Elections:repeal Rank Choice/open Primary,An Act relating to elections.,https://legiscan.com/AK/bill/HB4/2023
1057641,AL,HB193,2018,2018 Regular Session,In House Committee,2018-01-11,2018-01-11,"Read for the first time and referred to the House of Representatives committee on Constitution, Campaigns and Elections","Constitution, Campaigns and Elections",opens,"Open Primary elections, system created, qualifications to participate in general election, revised, Sec. 17-13-8.2 added; Secs. 17-13-7.1, 1","Open Primary elections, system created, qualifications to participate in general election, revised, Sec. 17-13-8.2 added; Secs. 17-13-7.1, 17-13-19, 17-13-20, 17-13-21, 17-13-23, 17-13-41, 17-13-101 r",https://legiscan.com/AL/bill/HB193/2018
1056508,AL,SB164,2018,2018 Regular Session,In Senate Committee,2018-01-11,2018-01-11,"Read for the first time and referred to the Senate committee on Constitution, Ethics and Elections","Constitution, Ethics and Elections",opens,"Open Primary elections, system created, qualifications to participate in general election, revised, Sec. 17-13-8.2 added; Secs. 17-13-7.1, 1","Open Primary elections, system created, qualifications to participate in general election, revised, Sec. 17-13-8.2 added; Secs. 17-13-7.1, 17-13-19, 17-13-20, 17-13-21, 17-13-23, 17-13-41, 17-13-101 r",https://legiscan.com/AL/bill/SB164/2018
1060469,AL,HB214,2018,2018 Regular Session,In House Committee,2018-01-16,2018-01-16,"Read for the first time and referred to the House of Representatives committee on Constitution, Campaigns and Elections","Constitution, Campaigns and Elections",opens,"Open primary elections, system created, qualifications to participate in general elections revised, Sec. 17-13-8.2 added; Secs. 17-13-7.1, 1","Open primary elections, system created, qualifications to participate in general elections revised, Sec. 17-13-8.2 added; Secs. 17-13-7.1, 17-13-19, 17-13-20, 17-13-21, 17-13-23, 17-13-41, 17-13-101 r",https://legiscan.com/AL/bill/HB214/2018
525798,AR,HB1743,2013,2013 Regular Session,In House Committee,2013-05-17,2013-05-17,Died in House Committee at Sine Die adjournment.,,opens,To Establish An Open Blanket Primary To Ensure The Election Of The Most Qualified Candidate; And To Reform Election Laws And Procedures To P,To Establish An Open Blanket Primary To Ensure The Election Of The Most Qualified Candidate; And To Reform Election Laws And Procedures To Preserve Public Money And Resources.,https://legiscan.com/AR/bill/HB1743/2013
980041,AR,HB1766,2017,2017 Regular Session,In House Committee,2017-05-01,2017-05-01,Died in House Committee at Sine Die Adjournment,,opens,"To Create ""the Nonpartisan Blanket Primary Act""; To Institute The Nonpartisan Blanket Primary Election System; And To Amend The Arkansas Ele","To Create ""the Nonpartisan Blanket Primary Act""; To Institute The Nonpartisan Blanket Primary Election System; And To Amend The Arkansas Election Code.",https://legiscan.com/AR/bill/HB1766/2017
119935,AZ,HB2638,2010,2010 Regular Session,In Senate Committee,2010-02-08,2010-02-09,Referred to House JUD Committee,Judiciary,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/HB2638/2010
381823,AZ,HCR2050,2012,2012 Regular Session,In Senate Committee,2012-02-01,2012-02-02,Referred to House JUD Committee,Judiciary,opens,Open top two primary elections,Open top two primary elections,https://legiscan.com/AZ/bill/HCR2050/2012
471926,AZ,SB1186,2013,2013 Regular Session,In Senate Committee,2013-01-24,2013-01-28,Referred to Senate ELEC Committee,Elections,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/SB1186/2013
611285,AZ,SB1427,2014,2014 Regular Session,In Senate Committee,2014-02-04,2014-02-05,Referred to Senate ELEC Committee,Elections,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/SB1427/2014
706592,AZ,SB1366,2015,2015 Regular Session,In Senate Committee,2015-02-02,2015-02-03,Referred to Senate GOV Committee,Government Institutions,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/SB1366/2015
802332,AZ,SB1027,2016,2016 Regular Session,In Senate Committee,2016-01-11,2016-01-12,Referred to Senate GOV Committee,Government Institutions,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/SB1027/2016
930432,AZ,HB2350,2017,2017 Regular Session,Introduced,2017-01-26,2017-01-30,House read second time,,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/HB2350/2017
936178,AZ,SB1393,2017,2017 Regular Session,Introduced,2017-01-31,2017-02-01,Senate read second time,,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/SB1393/2017
1037277,AZ,HB2051,2018,2018 Regular Session,Introduced,2018-01-09,2018-01-10,House read second time,,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/HB2051/2018
1052791,AZ,SB1126,2018,2018 Regular Session,Introduced,2018-01-11,2018-01-17,Senate read second time,,opens,Presidential preference election; independent voters.,Presidential preference election; independent voters.,https://legiscan.com/AZ/bill/SB1126/2018
1057509,AZ,HCR2014,2018,2018 Regular Session,Introduced,2018-01-23,2018-01-24,House read second time,,closes,Closed primary elections,Closed primary elections,https://legiscan.com/AZ/bill/HCR2014/2018
1151204,AZ,SB1057,2019,2019 Regular Session,Introduced,2019-01-15,2019-01-16,Senate read second time,,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/SB1057/2019
1327040,AZ,SB1532,2020,2020 Regular Session,Introduced,2020-02-04,2020-02-05,Senate read second time,Judiciary,opens,Presidential preference election; independent voters,Presidential preference election; independent voters,https://legiscan.com/AZ/bill/SB1532/2020
1425718,AZ,HB2736,2021,2021 Regular Session,Introduced,2021-02-02,2021-02-03,House read second time,Government & Elections,opens,Presidential preference election; independent voters.,Presidential preference election; independent voters.,https://legiscan.com/AZ/bill/HB2736/2021
