state,name,party,role,district,sitting,sponsored,yea,nay,people_id
SC,Thomas Beach,R,Rep,HD-010,yes,10,0,0,23298
AZ,Martin Quezada,D,Sen,SD-029,no,9,0,0,13923
SC,Josiah Magnuson,R,Rep,HD-038,yes,9,0,0,18091
MS,William Shirley,R,Rep,HD-084,no,9,0,0,13811
SC,Jay Kilmartin,R,Rep,HD-085,yes,8,0,0,23301
SC,James Burns,R,Rep,HD-017,yes,8,0,0,15975
US,Brian Fitzpatrick,R,Rep,HD-PA-1,yes,8,0,0,18304
SC,Rob Harris,R,Rep,HD-036,yes,8,0,0,23374
SC,Joe White,R,Rep,HD-040,yes,8,0,0,24751
NY,Robert Carroll,D,Rep,HD-044,yes,7,2,0,18778
SC,Dianne Mitchell,R,Rep,HD-021,yes,7,0,0,26559
MS,Stephen Horne,R,Rep,HD-081,yes,7,0,0,6520
MS,Gary Staples,R,Rep,HD-088,no,7,0,0,6536
SC,Jordan Pace,R,Rep,HD-117,yes,7,0,0,23306
SC,Sarita Edgerton,R,Rep,HD-034,yes,7,0,0,26247
NY,Albert Stirpe,D,Rep,HD-127,yes,6,1,0,1387
SC,Jackie Terribile,R,Rep,HD-066,yes,6,0,0,26260
SC,John Lastinger,R,Rep,HD-088,yes,6,0,0,26558
MS,J.P. Wilemon,D,Sen,SD-005,no,6,0,0,6625
AZ,Richard Andrade,D,Rep,HD-029,no,6,0,0,16775
SC,Donald McCabe,R,Rep,HD-096,yes,5,0,0,21749
TX,Rafael Anchia,D,Rep,HD-103,yes,5,0,0,5851
SC,April Cromer,R,Rep,HD-006,yes,5,0,0,23299
SC,John Mccravy,R,Rep,HD-013,yes,5,0,0,18092
IL,Mike Fortner,R,Rep,HD-049,no,5,0,0,1021
VA,Sam Rasoul,D,Rep,HD-038,yes,5,0,0,16093
SC,Chris Huff,R,Rep,HD-028,yes,5,0,0,26253
NY,Fred Thiele,D,Rep,HD-001,no,4,1,0,1390
ME,Matthew Pouliot,R,Sen,SD-015,no,3,1,3,14729
ME,Jeffrey Evangelos,I,Rep,HD-091,no,3,2,2,15403
ME,Kent Ackley,I,Rep,HD-082,no,3,1,3,18172
ME,Walter Riseman,I,Rep,HD-083,no,3,2,2,21231
NY,Gustavo Rivera,D,Sen,SD-033,yes,4,1,0,11116
ME,Deane Rykerson,D,Rep,HD-001,no,4,0,1,15702
MD,Lily Qi,D,Rep,HD-015,yes,4,1,0,20966
AZ,Jennifer Pawlik,D,Rep,HD-013,no,4,0,0,20573
SC,Alan Morgan,R,Rep,HD-018,yes,4,0,0,23151
NY,Jeffrey Dinowitz,D,Rep,HD-081,yes,3,3,0,1294
MA,Alice Peisch,D,Rep,HD-14-NOR,yes,4,0,0,2493
SC,William Chumley,R,Rep,HD-035,yes,4,0,0,11216
AK,Scott Kawasaki,D,Rep,SD-P,yes,4,0,0,6052
HI,Clayton Hee,D,Sen,SD-023,no,4,0,0,8421
MS,Russell Jolly,D,Sen,SD-008,no,4,0,0,13664
MS,Jay Hughes,D,Rep,HD-012,no,4,0,0,17764
SC,Stephen Frank,R,Rep,HD-020,yes,4,0,0,26248
SC,Lee Gilreath,R,Rep,HD-007,yes,4,0,0,26249
ME,David McCrea,D,Rep,HD-148,no,2,3,2,18196
ME,Michael Sylvester,D,Rep,HD-039,no,2,2,3,18209
NY,Thomas Abinanti,D,Rep,HD-092,no,3,2,0,11101
NY,William Colton,D,Rep,HD-047,yes,3,2,0,1283
ME,Justin Chenette,D,Sen,SD-031,no,3,0,1,15270
NY,Linda Rosenthal,D,Rep,HD-067,yes,3,1,0,1375
LA,Robert Adley,R,Sen,SD-036,no,2,4,0,5361
NY,Diane Richardson,D,Rep,HD-043,no,3,1,0,17697
ME,William Pluecker,I,Rep,HD-044,yes,2,3,1,21230
NY,Jo Simon,D,Rep,HD-052,yes,3,1,0,16762
NY,Michael Benedetto,D,Rep,HD-082,yes,3,1,0,1265
LA,Francis Thompson,R,Rep,HD-019,yes,2,3,1,5328
NY,Harvey Epstein,D,Rep,HD-074,yes,3,0,0,19642
ME,Matthea Larsen Daughtry,D,Sen,SD-023,yes,1,2,4,14714
AZ,Judy Schwiebert,D,Rep,HD-002,no,3,0,0,22292
MS,Oscar Denton,D,Rep,HD-055,yes,3,0,0,16104
HI,Brickwood Galuteria,D,Sen,SD-012,no,3,0,0,8448
LA,Hunter Greene,R,Rep,HD-066,no,2,3,0,5216
MD,Cheryl Kagan,D,Sen,SD-017,yes,3,0,0,17313
NM,Stephanie Richard,D,Rep,HD-043,no,3,0,0,15032
SC,Mark Willis,R,Rep,HD-016,yes,3,0,0,2321
VA,Bill Wiley,R,Rep,HD-032,yes,3,0,0,22455
HI,Sylvia Luke,D,Rep,HD-025,no,3,0,0,8347
NM,Bill Tallman,D,Sen,SD-018,no,3,0,0,19021
MO,Kevin Windham,D,Rep,HD-074,no,3,0,0,20201
HI,Chris Lee,D,Sen,SD-025,yes,3,0,0,8383
ME,Benjamin Chipman,D,Sen,SD-028,no,2,1,2,10326
VA,Mark Cole,R,Rep,HD-088,no,2,3,0,678
